device_id,vehicle_id,start_time,end_time,start_x,start_y,start_loc_time,end_x,end_y,end_loc_time
1,1380,2025-05-13 20:36:10.000,2025-05-13 20:40:11.000,-1140825400,509853249,2025-05-13 20:36:10+00:00,-1140903583,509856000,2025-05-13 20:40:11+00:00
1,1380,2025-05-13 20:42:02.010,2025-05-13 21:15:21.000,-1140903916,509855283,2025-05-13 20:42:02.010000+00:00,-1140279866,509876066,2025-05-13 21:15:21+00:00
1,1380,2025-05-13 21:43:15.000,2025-05-13 22:05:13.000,-1140279166,509876566,2025-05-13 21:43:15+00:00,-1140677633,510314283,2025-05-13 22:05:13+00:00
1,1380,2025-05-13 22:27:17.000,2025-05-13 22:48:52.000,-1140676833,510313916,2025-05-13 22:27:17+00:00,-1140539483,510516733,2025-05-13 22:48:52+00:00
1,1380,2025-05-13 23:24:53.010,2025-05-13 23:53:46.000,-1140538116,510515750,2025-05-13 23:24:53.010000+00:00,-1141282750,509446383,2025-05-13 23:53:46+00:00
1,1380,2025-05-14 13:43:08.000,2025-05-14 13:57:09.000,-1141284850,509445599,2025-05-14 13:43:08+00:00,-1140904350,509855733,2025-05-14 13:57:09+00:00
1,1380,2025-05-14 14:01:08.010,2025-05-14 14:23:18.000,-1140904666,509855100,2025-05-14 14:01:08.010000+00:00,-1140849700,508789800,2025-05-14 14:23:18+00:00
1,1380,2025-05-14 14:51:34.000,2025-05-14 14:53:03.000,-1140850233,508789633,2025-05-14 14:51:34+00:00,-1140858883,508789366,2025-05-14 14:53:03+00:00
1,1380,2025-05-14 14:54:57.010,2025-05-14 15:03:57.010,-1140860833,508789150,2025-05-14 14:54:57.010000+00:00,-1140387650,508649200,2025-05-14 15:03:57.010000+00:00
1,1380,2025-05-14 15:34:33.000,2025-05-14 15:59:28.010,-1140386700,508648883,2025-05-14 15:34:33+00:00,-1141400250,510383149,2025-05-14 15:59:28.010000+00:00
1,1380,2025-05-14 16:18:27.000,2025-05-14 16:35:05.000,-1141400300,510383450,2025-05-14 16:18:27+00:00,-1141446883,509399649,2025-05-14 16:35:05+00:00
1,1380,2025-05-14 16:37:37.000,2025-05-14 16:39:36.000,-1141450366,509399916,2025-05-14 16:37:37+00:00,-1141452200,509399900,2025-05-14 16:39:36+00:00
1,1380,2025-05-14 16:40:46.010,2025-05-14 16:43:12.000,-1141453883,509399450,2025-05-14 16:40:46.010000+00:00,-1141457250,509391683,2025-05-14 16:43:12+00:00
1,1380,2025-05-14 17:29:50.000,2025-05-14 17:38:18.000,-1141457300,509392400,2025-05-14 17:29:50+00:00,-1141284266,509446600,2025-05-14 17:38:18+00:00
1,1380,2025-05-15 03:28:20.000,2025-05-15 03:30:01.000,-1141282466,509446083,2025-05-15 03:28:20+00:00,-1141282216,509446566,2025-05-15 03:30:01+00:00
1,1380,2025-05-15 13:45:25.010,2025-05-15 14:33:47.000,-1141283799,509446350,2025-05-15 13:45:25.010000+00:00,-1140858783,511712749,2025-05-15 14:33:47+00:00
1,1380,2025-05-15 15:00:35.020,2025-05-15 15:05:47.000,-1140859483,511716783,2025-05-15 15:00:35.020000+00:00,-1140860583,511725066,2025-05-15 15:05:47+00:00
1,1380,2025-05-15 15:06:13.010,2025-05-15 15:19:22.000,-1140859850,511725283,2025-05-15 15:06:13.010000+00:00,-1142006216,511538533,2025-05-15 15:19:22+00:00
1,1380,2025-05-15 15:33:45.000,2025-05-15 15:58:00.000,-1142004950,511538383,2025-05-15 15:33:45+00:00,-1141284500,509445783,2025-05-15 15:58:00+00:00
1,1380,2025-05-15 18:16:22.010,2025-05-15 18:23:03.010,-1141284500,509445783,2025-05-15 18:16:22.010000+00:00,-1141310266,509282850,2025-05-15 18:23:03.010000+00:00
